order,set_key,file_path,thumbnail,width,height
52,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_054.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_054.jpg,900,1487
53,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_055.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_055.jpg,900,1487
54,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_056.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_056.jpg,900,1487
55,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_057.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_057.jpg,900,1487
56,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_058.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_058.jpg,900,1487
57,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_059.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_059.jpg,900,1487
58,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_060.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_060.jpg,900,1489
59,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_061.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_061.jpg,900,1487
60,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_062.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_062.jpg,900,1487
61,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_063.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_063.jpg,900,1487
